date,code,open,high,low,close,volume,amount,turn,pctChg
2020-02-11,sh.600519,920.9959560000,952.7759481600,920.8226736000,951.3203760000,4791793,5222918915.0000,0.381500,2.954600
2020-02-12,sh.600519,943.5226680000,952.0048414800,940.8194625600,950.6878952400,2812543,3072293973.0000,0.223900,-0.066500
2020-02-13,sh.600519,951.3203760000,965.0876626800,942.6649201200,945.2554920000,3035736,3335277425.0000,0.241700,-0.571400
2020-02-14,sh.600519,944.7789654000,947.4301861200,938.4195013200,942.6562560000,2328760,2534568401.0000,0.185400,-0.275000
2020-02-17,sh.600519,937.8909900000,949.7521702800,937.8043488000,947.6987738400,2702822,2946182657.0000,0.215200,0.534900
2020-02-18,sh.600519,944.3977441200,950.3499945600,938.3241960000,939.1906080000,2666496,2897729692.0000,0.212300,-0.897800
2020-02-19,sh.600519,940.0570200000,954.3528180000,933.9921360000,950.0207580000,3705147,4052365602.0000,0.294900,1.153100
2020-02-20,sh.600519,950.1940404000,973.8470880000,949.0763689200,968.6486160000,4680262,5220660940.0000,0.372600,1.960800
2020-02-21,sh.600519,962.9822815200,973.4485384800,961.7259841200,964.2125865600,2894008,3225337160.0000,0.230400,-0.458000
2020-02-24,sh.600519,957.8184660000,961.7173200000,940.4902260000,941.9457981600,3865036,4221857466.0000,0.307700,-2.309300
2020-02-25,sh.600519,933.9921360000,937.5357610800,925.2240465600,931.2282817200,3838562,4127432130.0000,0.305600,-1.137800
2020-02-26,sh.600519,920.1295440000,939.1906080000,914.0646600000,930.2665644000,4356097,4663278433.0000,0.346800,-0.103300
2020-02-27,sh.600519,932.2593120000,948.7124758800,932.2593120000,942.1277446800,3449829,3758783810.0000,0.274600,1.275000
2020-02-28,sh.600519,927.3207636000,937.4577840000,909.7066076400,915.7974840000,4994657,5307929213.0000,0.397600,-2.794800
2020-03-02,sh.600519,909.8279053200,950.0640786000,909.7412641200,940.9320961200,4766304,5154329159.0000,0.379400,2.744600
2020-03-03,sh.600519,951.3203760000,969.4110585600,951.3203760000,964.3165560000,5025015,5585227657.0000,0.400000,2.485200
2020-03-04,sh.600519,974.7135000000,986.8432680000,967.1237308800,978.1098350400,5379299,6080149243.0000,0.428200,1.430400
2020-03-05,sh.600519,984.5126197200,1018.0254358800,979.5307507200,1014.5684520000,6242645,7210485104.0000,0.496900,3.727500
2020-03-06,sh.600519,1007.6371560000,1018.9005120000,998.0892957600,1001.1390660000,3064100,3553622358.0000,0.243900,-1.323700
2020-03-09,sh.600519,983.3776200000,983.3776200000,962.8523197200,965.1916321200,4340409,4865288500.0000,0.345500,-3.590700
2020-03-10,sh.600519,964.3165560000,1011.9692160000,964.3165560000,1001.5722720000,5806293,6635936156.0000,0.462200,3.769300
